Name,Structure,Area,Station,Flow,Orientation,Price,Price_sqm,Build_time
梅园六街坊,2室0厅,47.72,浦东,低区/6层,朝南,500,104777,1992.0
碧云新天地（一期）,3室2厅,108.93,浦东,低区/6层,朝南,735,67474,2002.0
博山小区,1室1厅,43.79,浦东,中区/6层,朝南,260,59374,1988.0
金桥新村四街坊（博兴路986弄）,1室1厅,41.66,浦东,中区/6层,朝南北,280,67210,1997.0
博山小区,1室0厅,39.77,浦东,高区/6层,朝南,235,59089,1987.0
潍坊三村,1室0厅,34.84,浦东,中区/5层,,260,74626,1983.0
伟莱家园,2室2厅,100.15,浦东,中区/6层,朝南北,515,51422,2002.0
世茂滨江花园,3室2厅,260.39,浦东,中区/51层,朝西,2200,84488,nan
羽北小区,2室2厅,69.88,浦东,低区/6层,朝南,560,80137,1994.0
证大家园（公寓）,3室2厅,122.75,浦东,低区/11层,朝南北,785,63951,2002.0
上南十村,1室1厅,40.17,浦东,低区/6层,朝南,240,59746,1992.0
鹏欣家园,1室1厅,59.42,浦东,中区/6层,朝南,410,69000,1998.0
香楠小区,2室2厅,80.34,浦东,高区/6层,,420,52277,nan
恒大华城新华苑,2室1厅,68.9,浦东,高区/6层,朝南北,460,66763,1997.0
金橘新苑,1室1厅,61.65,浦东,低区/18层,朝南,370,60016,2006.0
陆家嘴花园（一期）,3室2厅,156.45,浦东,中区/11层,朝南北,1400,89485,1999.0
齐七小区,2室1厅,67.49,浦东,低区/6层,朝南,415,61490,1997.0
碧云新天地（一期）,3室2厅,129.82,浦东,中区/6层,朝南北,910,70097,2002.0
芳华路713弄,2室1厅,65.55,浦东,高区/6层,朝南北,365,55682,1995.0
环球翡翠湾花园（公寓）,3室2厅,118.86,浦东,中区/18层,朝南北,720,60575,2006.0
香楠小区,2室2厅,85.83,浦东,高区/6层,朝南北,440,51264,nan
连波路228弄,3室1厅,72.85,浦东,低区/6层,朝南,430,59025,1996.0
新领地,2室2厅,105.73,浦东,高区/29层,朝南,535,50600,2002.0
园西小区,2室1厅,54.82,浦东,中区/5层,朝南北,250,45603,1987.0
杨思路502弄,2室0厅,46.68,浦东,高区/7层,朝东北,250,53556,1995.0
海桐小区,2室1厅,71.18,浦东,低区/6层,朝南,630,88508,1999.0
宏莲馨苑,3室2厅,110.17,浦东,中区/11层,朝南北,689,62539,nan
金杨二街坊,2室1厅,61.75,浦东,高区/7层,朝西南,330,53441,nan
金桥新村四街坊（博兴路986弄）,3室1厅,73.17,浦东,低区/6层,朝南北,450,61500,1997.0
金桥瑞仕花园,2室2厅,116.22,浦东,高区/12层,朝南北,1100,94648,2008.0
上南六村,2室0厅,51.1,浦东,高区/6层,朝南,306,59882,nan
潍坊八村,2室1厅,48.11,浦东,中区/6层,朝南,385,80024,1985.0
锦福苑,1室1厅,58.5,浦东,高区/6层,朝南北,234,40000,2005.0
碧云新天地（一期）,2室2厅,95.78,浦东,低区/6层,朝南,640,66819,2002.0
东陆新村五街坊,1室1厅,42.42,浦东,中区/6层,朝南,275,64827,2003.0
临沂七村,1室0厅,34.5,浦东,低区/6层,,240,69565,1990.0
菊园,3室2厅,135.65,浦东,中区/35层,朝南,1100,81091,nan
双桥小区,2室1厅,75.1,浦东,高区/6层,朝南,480,63914,1997.0
浦发绿城,2室1厅,72.82,浦东,低区/6层,朝南北,395,54243,2004.0
兰园小区,2室0厅,55.51,浦东,高区/6层,朝南北,430,77463,1988.0
金桥新村四街坊（博兴路986弄）,3室1厅,76.0,浦东,高区/6层,朝南北,430,56578,1997.0
罗山五村,2室1厅,62.34,浦东,中区/6层,朝东南,355,56945,nan
东源名都,3室2厅,138.57,浦东,低区/18层,朝南北,795,57371,2007.0
交江大楼,2室1厅,82.12,浦东,中区/27层,朝东南,390,47491,1995.0
上南花苑,4室2厅,143.46,浦东,低区/7层,朝南,750,52279,1996.0
潼港六村,2室1厅,58.22,浦东,低区/6层,朝南,243,41738,1990.0
绿地东上海,2室2厅,113.81,浦东,低区/18层,朝南北,580,50962,2007.0
金唐公寓,1室1厅,59.72,浦东,高区/6层,朝南,298,49899,2006.0
涵乐园,1室2厅,68.47,浦东,低区/24层,朝东,598,87337,nan
绿地康桥新苑,2室1厅,77.72,浦东,高区/6层,朝南,405,52110,2004.0
樱花路89弄,3室2厅,99.58,浦东,高区/6层,朝南,795,79835,2006.0
东方康德家园,3室2厅,99.85,浦东,低区/6层,朝南北,475,47571,nan
锦博苑,2室2厅,79.57,浦东,高区/6层,朝南,550,69121,2007.0
海高二村,2室1厅,64.99,浦东,高区/6层,,255,39236,1994.0
棕榈苑,2室1厅,84.88,浦东,高区/12层,朝南,430,50659,1999.0
张杨花苑,2室2厅,96.73,浦东,低区/13层,朝西南,730,75467,nan
建业新村,2室1厅,64.31,浦东,高区/6层,朝南,339,52713,1997.0
金杨新村十街坊,3室1厅,72.84,浦东,高区/6层,朝南,370,50796,1996.0
中星恬园,2室2厅,108.11,浦东,高区/7层,朝南北,980,90648,nan
紫竹轩,2室2厅,108.55,浦东,中区/6层,朝南北,640,58959,2001.0
城南路374弄,2室1厅,40.93,浦东,中区/6层,朝南北,196,47886,1988.0
绿茵苑（浦东）,1室1厅,57.48,浦东,高区/6层,朝南,328,57063,1998.0
双桥小区,1室1厅,41.91,浦东,低区/6层,,315,75161,1997.0
黄山新村,1室0厅,34.29,浦东,高区/6层,朝南北,345,100612,1995.0
园西小区,3室1厅,71.48,浦东,高区/4层,朝南北,290,40570,1987.0
临沂六村,1室0厅,35.57,浦东,高区/6层,朝南,215,60444,nan
名嘉新苑,3室2厅,122.76,浦东,高区/18层,朝南北,740,60280,2007.0
临沂大楼,2室1厅,74.27,浦东,低区/25层,朝南,432,58166,1994.0
桃园公寓（川沙）,2室2厅,95.86,浦东,高区/6层,朝南,355,37033,1998.0
环球翡翠湾花园（公寓）,3室2厅,119.07,浦东,高区/18层,朝南北,795,66767,2006.0
中冶尚城,2室2厅,87.48,浦东,低区/14层,朝南北,550,62871,2010.0
桃林小区,3室2厅,105.0,浦东,低区/6层,朝,990,94285,1999.0
双桥小区,1室1厅,41.91,浦东,高区/6层,朝南,340,81126,1997.0
黄山始信苑,2室1厅,56.39,浦东,低区/6层,朝南,465,82461,1999.0
金桥新村四街坊（长岛路1201弄）,2室1厅,65.18,浦东,高区/6层,朝南北,370,56765,1997.0
妙境公寓,3室1厅,105.56,浦东,中区/5层,朝南北,450,42629,1996.0
恒大华城梅山苑,2室1厅,64.41,浦东,高区/6层,朝南北,390,60549,1996.0
黄山始信苑,2室1厅,76.47,浦东,低区/4层,朝南北,520,68000,1999.0
金桥新村四街坊（长岛路1201弄）,2室1厅,64.63,浦东,高区/6层,朝南,365,56475,1997.0
妙境路627弄,3室1厅,108.91,浦东,高区/6层,朝南,350,32136,1997.0
牡丹小区（浦东）,2室1厅,54.36,浦东,低区/6层,朝南北,420,77262,nan
世华锦城,3室1厅,100.96,浦东,高区/18层,朝南,730,72305,2007.0
金杨四街坊,3室2厅,95.2,浦东,高区/7层,朝东南,550,57773,1994.0
尚东国际名园,4室2厅,266.28,浦东,低区/8层,朝南北,1350,50698,2007.0
世茂滨江花园,2室2厅,132.17,浦东,中区/56层,朝西北,1100,83226,nan
三林世博家园（板泉路2101弄）,2室1厅,73.32,浦东,中区/6层,朝南北,420,57283,2006.0
绿地景汇佳苑,4室2厅,201.84,浦东,低区/18层,朝南北,1000,49544,2012.0
大华锦绣华城（四街区）,3室2厅,90.91,浦东,低区/18层,朝南,750,82499,2010.0
港城新苑,2室2厅,94.69,浦东,中区/14层,朝南北,450,47523,nan
浦发御园,3室2厅,85.97,浦东,中区/11层,朝南北,670,77934,2013.0
牡丹小区（浦东）,2室1厅,62.38,浦东,高区/6层,朝南北,475,76146,nan
保利金爵公寓,3室2厅,112.07,浦东,中区/14层,朝南北,680,60676,nan
德州二村,2室1厅,50.57,浦东,低区/6层,朝西南,290,57346,1984.0
绿洲康城亲水湾,1室1厅,61.92,浦东,中区/22层,朝南,368,59431,2012.0
崮山小区,1室1厅,53.92,浦东,中区/6层,朝南,445,82529,1997.0
绿洲康城亲水湾,1室1厅,69.91,浦东,高区/22层,朝南,380,54355,2012.0
恒大华城天地苑,1室2厅,70.67,浦东,低区/11层,朝,535,75703,2002.0
绿茵苑（浦东）,2室1厅,72.31,浦东,高区/6层,朝南,375,51860,1998.0
恒大翰城瀚林苑,2室2厅,91.93,浦东,中区/6层,朝南北,600,65267,2002.0
东陆新村五街坊,3室1厅,77.85,浦东,高区/6层,朝南,472,60629,2003.0
锦绣一方名苑,3室2厅,132.76,浦东,中区/11层,朝南北,940,70804,2002.0
泉东小区,2室1厅,56.89,浦东,低区/6层,朝南,530,93162,nan
华高一村,3室1厅,93.12,浦东,高区/6层,朝南北,370,39733,1994.0
世茂滨江花园,2室2厅,126.39,浦东,中区/56层,朝西北,1150,90988,nan
艺泰安邦,3室2厅,131.71,浦东,低区/17层,朝南北,385,29230,2007.0
高科西路2847弄,2室1厅,83.86,浦东,低区/6层,朝南,500,59623,1994.0
民星苑,2室1厅,64.59,浦东,低区/6层,朝南北,350,54187,1997.0
博一小区,3室1厅,80.97,浦东,中区/6层,朝南,450,55576,1995.0
上钢三村,1室1厅,41.84,浦东,高区/6层,朝南,235,56166,nan
梅园六街坊,2室1厅,52.58,浦东,高区/6层,朝南,518,98516,1993.0
罗山五村,2室1厅,60.99,浦东,高区/6层,朝南北,335,54927,1990.0
金谊河畔,2室2厅,113.19,浦东,低区/16层,朝南,725,64051,2009.0
浦发绿城,3室2厅,113.11,浦东,高区/11层,朝南北,560,49509,2005.0
泾华新村,1室1厅,49.3,浦东,高区/6层,朝南北,300,60851,1992.0
新世纪花苑（浦东）,1室1厅,50.85,浦东,中区/7层,,358,70403,1996.0
博山公寓,3室2厅,127.17,浦东,低区/14层,朝东南,750,58976,1998.0
证大家园（公寓）,2室2厅,88.72,浦东,中区/5层,朝南北,700,78899,2005.0
金杨新村十街坊,2室1厅,57.46,浦东,高区/6层,朝南北,325,56561,1993.0
凌兆路608弄,2室1厅,74.67,浦东,中区/6层,朝南北,460,61604,1996.0
名嘉新苑,4室2厅,146.21,浦东,高区/18层,朝南北,880,60187,2007.0
上南二村,3室0厅,65.61,浦东,高区/6层,朝南,425,64776,1989.0
名嘉新苑,4室2厅,146.47,浦东,中区/17层,朝南北,910,62128,2007.0
中房樱桃苑,3室2厅,131.15,浦东,高区/14层,朝南北,950,72436,2006.0
同方锦城,3室2厅,117.34,浦东,高区/6层,朝南北,690,58803,2004.0
瑞苑公寓,3室2厅,181.62,浦东,高区/40层,朝南,1280,70476,2001.0
凌兆新村（上浦路510弄）,2室1厅,56.12,浦东,高区/6层,朝南,315,56129,1994.0
翰城国际,3室2厅,113.95,浦东,低区/13层,朝南北,760,66695,2004.0
上南六村,1室0厅,28.7,浦东,中区/6层,朝南,212,73867,nan
黄山始信苑,2室2厅,76.47,浦东,中区/4层,朝南北,540,70615,1999.0
东陆新村六街坊,3室1厅,82.42,浦东,高区/6层,朝南,395,47925,1995.0
大华锦绣华城（十二街区）,2室2厅,92.37,浦东,高区/6层,朝南北,720,77947,2003.0
上海滩花园洋房,4室2厅,203.14,浦东,中区/5层,朝南北,1750,86147,nan
金杨七街坊,2室1厅,69.01,浦东,低区/6层,朝南,390,56513,1995.0
新里城和合苑,3室2厅,114.11,浦东,中区/6层,朝南北,750,65726,1999.0
兰园小区,2室1厅,60.0,浦东,高区/6层,朝南北,448,74666,1988.0
南杨小区（长清路）,2室1厅,58.29,浦东,高区/24层,朝南,335,57471,2001.0
康桥宝邸,3室2厅,101.67,浦东,高区/11层,朝南北,420,41310,2007.0
京浦小区,2室1厅,62.7,浦东,高区/6层,朝南,300,47846,1995.0
潍坊四村,2室0厅,49.17,浦东,高区/6层,朝南北,320,65080,1982.0
沂南路54弄,1室0厅,30.7,浦东,高区/6层,朝南,210,68403,1981.0
南新一村（下南路161弄）,2室1厅,80.74,浦东,中区/6层,,360,44587,nan
罗山花苑,2室2厅,69.28,浦东,高区/6层,朝南,650,93822,nan
海尚康庭,2室2厅,72.49,浦东,中区/14层,朝南,305,42074,2008.0
中邦城市,2室2厅,98.25,浦东,低区/12层,朝南北,550,55979,2006.0
潍坊二村,2室1厅,48.73,浦东,高区/6层,朝,330,67720,1978.0
荡湾新村,2室1厅,53.26,浦东,高区/6层,朝南北,160,30041,1986.0
阳光苑,2室2厅,84.9,浦东,高区/6层,朝南,320,37691,1997.0
万达广场（周浦）,1室1厅,55.81,浦东,中区/26层,朝东,135,24189,2009.0
金台三居,2室2厅,98.19,浦东,低区/6层,朝南北,495,50412,2000.0
康桥花园,3室2厅,95.01,浦东,高区/6层,朝南,430,45258,1995.0
民风小区,2室1厅,79.7,浦东,中区/5层,朝南北,300,37641,1995.0
鼎城丽景苑,3室2厅,127.55,浦东,中区/13层,朝,450,35280,2009.0
金桥酒店公寓,1室0厅,47.73,浦东,高区/19层,朝东南,450,94280,nan
昱龙家园,3室2厅,93.32,浦东,中区/5层,朝南北,370,39648,2006.0
汇丽苑,3室2厅,132.65,浦东,高区/12层,朝南北,560,42216,nan
泾华新村,1室0厅,34.85,浦东,中区/6层,朝南,260,74605,1992.0
金杨新村八街坊,2室1厅,91.47,浦东,中区/24层,朝东北,435,47556,1996.0
毕加索小镇（一期）（公寓）,3室2厅,232.15,浦东,低区/8层,朝南北,980,42214,2010.0
学前二村,2室1厅,65.59,浦东,高区/6层,朝南,310,47263,1993.0
地杰国际城,3室2厅,110.22,浦东,高区/27层,朝南北,570,51714,2009.0
巨西小区,1室1厅,35.95,浦东,低区/6层,朝南,275,76495,1993.0
泾东小区,1室1厅,45.01,浦东,高区/6层,朝南,330,73317,nan
惠德新邨,3室1厅,93.32,浦东,中区/7层,朝南,550,58936,1996.0
罗山五村,2室1厅,58.24,浦东,低区/6层,朝南,330,56662,1990.0
梅园五街坊,2室1厅,57.44,浦东,高区/6层,朝南北,530,92270,1994.0
恒大小区,2室1厅,64.22,浦东,高区/6层,朝南,360,56057,1995.0
东陆新村七街坊,2室1厅,57.71,浦东,高区/6层,朝南北,265,45919,1997.0
汇智湖畔家园,2室2厅,87.69,浦东,高区/17层,朝南北,850,96932,2013.0
汇智湖畔家园,3室2厅,111.06,浦东,高区/18层,朝南北,980,88240,2013.0
世茂滨江花园,2室2厅,147.39,浦东,中区/47层,朝西北,1400,94986,nan
绿洲康城亲水湾,3室2厅,124.35,浦东,高区/12层,朝南北,760,61117,2010.0
潍坊九村,2室0厅,49.47,浦东,低区/6层,朝,420,84899,1986.0
万科金色城市,3室2厅,89.25,浦东,高区/18层,朝南北,685,76750,nan
桃李家园,2室2厅,89.25,浦东,低区/6层,朝南北,600,67226,2000.0
济阳二村,2室1厅,65.69,浦东,中区/18层,朝南,395,60130,1993.0
阳明花园广场,2室2厅,103.31,浦东,中区/19层,朝西南,428,41428,1996.0
香楠小区,2室1厅,62.75,浦东,中区/6层,朝南,360,57370,nan
云台路86号,2室1厅,75.3,浦东,高区/16层,朝南,480,63745,1993.0
恒大华城新华苑,3室1厅,87.74,浦东,中区/6层,朝,540,61545,1998.0
绿洲康城亲水湾,2室2厅,102.95,浦东,中区/7层,朝南北,560,54395,2007.0
合欢公寓,2室1厅,69.5,浦东,低区/6层,朝南北,303,43597,1999.0
御桥花园,2室1厅,63.0,浦东,中区/6层,朝南北,360,57142,1996.0
品华苑,2室2厅,76.55,浦东,高区/6层,朝南北,414,54082,1999.0
潍坊八村,2室0厅,51.79,浦东,中区/6层,朝南北,390,75304,1984.0
桃林小区,2室2厅,81.98,浦东,中区/6层,朝南北,780,95145,1996.0
鑫龙佳苑,3室1厅,112.44,浦东,中区/6层,,410,36463,1997.0
由由五村,2室1厅,54.91,浦东,低区/6层,朝南北,325,59187,1994.0
巨峰家苑（公寓）,2室2厅,99.45,浦东,中区/13层,朝南北,620,62342,2005.0
凌云公寓（浦东）,2室1厅,66.45,浦东,低区/18层,朝南,365,54928,1999.0
明珠苑（浦东）,3室2厅,88.86,浦东,中区/6层,朝南北,780,87778,1998.0
金地未未来,2室2厅,89.31,浦东,中区/15层,朝南,650,72780,2009.0
